,1902–1919 Pacific typhoon seasons,1902–1919 Pacific typhoon seasons
,Seasonal boundaries,Seasonal boundaries.1
0,First system formed,January 1911
1,Last system dissipated,December 1911
2,Seasonal statistics,Seasonal statistics
3,Total depressions,30[1]
4,Total fatalities,Unknown
5,Total damage,Unknown
6,Related articles,Related articles
7,1911 Atlantic hurricane season 1910–19 Pacific hurricane seasons 1910s North Indian Ocean cyclone seasons,1911 Atlantic hurricane season 1910–19 Pacific hurricane seasons 1910s North Indian Ocean cyclone seasons
8,"Pacific typhoon seasons 1909, 1910, 1911, 1912, 1913","Pacific typhoon seasons 1909, 1910, 1911, 1912, 1913"
