index,1902–1919 Pacific typhoon seasons,1902–1919 Pacific typhoon seasons
,Seasonal boundaries,Seasonal boundaries.1
0,First system formed,January 1908
1,Last system dissipated,December 1908
2,Seasonal statistics,Seasonal statistics
3,Total depressions,31[1]
4,Total fatalities,428
5,Total damage,Unknown
6,Related articles,Related articles
7,1908 Atlantic hurricane season 1900–09 Pacific hurricane seasons 1900s North Indian Ocean cyclone seasons,1908 Atlantic hurricane season 1900–09 Pacific hurricane seasons 1900s North Indian Ocean cyclone seasons
8,"Pacific typhoon seasons 1906, 1907, 1908, 1909, 1910","Pacific typhoon seasons 1906, 1907, 1908, 1909, 1910"
